GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FinDet,com.financial.services.expenses,ExpensesHistory,0,179,1,9,0,42,1,11,0,7
FinDet,com.financial.services.expenses,EntityLogicService,0,176,0,20,0,35,0,18,0,8
FinDet,com.financial.services.expenses,BudgetExpenseLogicService,0,183,0,24,0,33,0,20,0,8
FinDet,com.financial.services.expenses,BudgetExpenseChangesService,0,64,0,4,0,10,0,4,0,2
FinDet,com.financial.services.expenses,EntityLogic,0,254,4,8,0,56,4,22,0,20
FinDet,com.financial.statistical_analysis,StatisticalExpenses,2,214,2,14,1,38,2,14,0,8
FinDet,com.financial.statistical_analysis,FrequencyRow,0,33,0,0,0,12,0,6,0,6
FinDet,com.financial.statistical_analysis,FrequencyTable,11,129,0,8,4,17,1,6,1,2
FinDet,com.financial.multi_year_analysis,MultiYearBudgetRevenue,0,132,0,14,0,30,0,15,0,8
FinDet,com.financial.multi_year_analysis,MultiYearBudgetEntry,0,71,0,0,0,20,0,8,0,8
FinDet,com.financial.multi_year_analysis,MultiYearEntity,0,140,0,10,0,32,0,16,0,11
FinDet,com.financial.multi_year_analysis,MultiYearBudgetExpense,0,197,0,18,0,49,0,24,0,15
FinDet,com.financial.services,BudgetType,0,33,0,0,0,6,0,1,0,1
FinDet,com.financial.strategies.filters,MatchAllFilter,0,5,0,0,0,2,0,2,0,2
FinDet,com.financial.strategies.filters,AccountFilter,0,12,0,0,0,4,0,2,0,2
FinDet,com.financial.strategies.filters,ServiceFilter,0,12,0,0,0,4,0,2,0,2
FinDet,com.financial.strategies,FilteredExpenseAdjustmentStrategy,0,50,0,4,0,14,0,5,0,3
FinDet,com.financial.entries,RegularBudgetExpense,0,68,0,0,0,18,0,12,0,12
FinDet,com.financial.entries,BudgetRevenue,0,266,0,32,0,59,0,40,0,22
FinDet,com.financial.entries,PublicInvestmentBudgetCoFundedExpense,0,69,0,0,0,18,0,12,0,12
FinDet,com.financial.entries,BudgetEntry,0,58,0,2,0,15,0,8,0,7
FinDet,com.financial.entries,PublicInvestmentBudgetNationalExpense,0,69,0,0,0,18,0,12,0,12
FinDet,com.financial.entries,PublicInvestmentBudgetRevenue,0,297,0,26,0,63,0,36,0,23
FinDet,com.financial.entries,Entity,0,402,0,24,0,90,0,51,0,39
FinDet,com.financial.entries,PublicInvestmentBudgetNationalRevenue,0,170,0,4,0,47,0,22,0,20
FinDet,com.financial.entries,BudgetRevenue.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
FinDet,com.financial.entries,PublicInvestmentBudgetRevenue.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
FinDet,com.financial.entries,RegularBudgetRevenue,0,168,0,4,0,47,0,22,0,20
FinDet,com.financial.entries,BudgetExpense,0,161,0,12,0,35,0,20,0,14
FinDet,com.financial.entries,PublicInvestmentBudgetCoFundedRevenue,0,170,0,4,0,47,0,22,0,20
FinDet,com.financial.entries,PublicInvestmentBudgetExpense,0,64,0,0,0,16,0,9,0,9
FinDet,com.financial.services.revenues,RevenuesHistory,4,144,5,15,2,40,5,12,0,7
FinDet,com.financial.services.revenues,BudgetRevenueLogicService,0,239,0,40,0,56,0,31,0,8
FinDet,com.financial.services.revenues,BudgetRevenueChangesService,2,185,0,20,2,44,0,16,0,6
FinDet,com.financial.strategies.operations,FixedAmountOperation,0,7,0,0,0,2,0,2,0,2
FinDet,com.financial.strategies.operations,PercentageOperation,0,11,0,0,0,2,0,2,0,2
