Κωδικός Ταξινόμησης,Oνομασία,Σκέλος,2025
13,Μεταβιβάσεις,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,35000000
134,Επιχορηγήσεις επενδύσεων εσωτερικού,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,35000000
13409,Λοιπές Επιχορηγήσεις επενδύσεων,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,35000000
1340901,Έσοδα από συνεισφορές για εκτέλεση έργων επενδύσεων,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,35000000
1340901001,Έσοδα από συνεισφορές για εκτέλεση έργων επενδύσεων,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,35000000
15,Λοιπά τρέχοντα έσοδα,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,265000000
156,"Πρόστιμα, ποινές και καταλογισμοί",ΕΘΝΙΚΟ ΣΚΕΛΟΣ,1000000
15609,Λοιπά πρόστιμα,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,1000000
1560921,Καταπτώσεις εγγυητικών επιστολών,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,1000000
1560921001,Καταπτώσεις εγγυητικών επιστολών,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,1000000
159,Επιστροφές δαπανών,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,264000000
15903,Επιστροφές μεταβιβάσεων,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,258000000
1590301,Επιστροφές ποσών από ΝΠΔΔ για εκτέλεση έργων επενδύσεων,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,240000000
1590301001,Επιστροφές ποσών από ΝΠΔΔ για εκτέλεση έργων επενδύσεων,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,240000000
1590302,Επιστροφές ποσών από φυσικά πρόσωπα για εκτέλεση έργων επενδύσεων,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,3000000
1590302001,Επιστροφές ποσών από φυσικά πρόσωπα για εκτέλεση έργων επενδύσεων,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,3000000
1590304,Επιστροφές επιχορηγήσεων για διαχείριση Απορριμμάτων Περιφέρειας Δυτικής Μακεδονίας,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,11000000
1590304001,Επιστροφές επιχορηγήσεων για διαχείριση Απορριμμάτων Περιφέρειας Δυτικής Μακεδονίας,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,11000000
1590309,Λοιπές επιστροφές από την εκτέλεση έργων επενδύσεων,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,4000000
1590309001,Λοιπές επιστροφές από την εκτέλεση έργων επενδύσεων,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,4000000
15907,Επιστροφές λοιπών δαπανών,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,6000000
1590789,Λοιπές επιστροφές ποσών,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,6000000
1590789001,Λοιπές επιστροφές ποσών,ΕΘΝΙΚΟ ΣΚΕΛΟΣ,6000000
13,Μεταβιβάσεις,ΣΥΓΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΣΚΕΛΟΣ,4190000000
135,Επιχορηγήσεις επενδύσεων από την Ε.Ε.,ΣΥΓΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΣΚΕΛΟΣ,4190000000
13501,Επιχορηγήσεις επενδύσεων από κοινοτικά ταμεία,ΣΥΓΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΣΚΕΛΟΣ,4190000000
1350101,Απολήψεις από το Ταμείο Περιφερειακής Ανάπτυξης,ΣΥΓΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΣΚΕΛΟΣ,1308000000
1350101001,Απολήψεις από το Ταμείο Περιφερειακής Ανάπτυξης,ΣΥΓΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΣΚΕΛΟΣ,1308000000
1350103,Απολήψεις από το Ευρωπαϊκό Γεωργικό Ταμείο Αγροτικής Ανάπτυξης,ΣΥΓΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΣΚΕΛΟΣ,1133000000
1350103001,Απολήψεις από το Ευρωπαϊκό Γεωργικό Ταμείο Αγροτικής Ανάπτυξης,ΣΥΓΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΣΚΕΛΟΣ,1133000000
1350104,Απολήψεις από το Ταμείο Συνοχής,ΣΥΓΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΣΚΕΛΟΣ,702000000
1350104001,Απολήψεις από το Ταμείο Συνοχής,ΣΥΓΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΣΚΕΛΟΣ,702000000
1350106,Απολήψεις από το Ευρωπαϊκό Κοινωνικό Ταμείο,ΣΥΓΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΣΚΕΛΟΣ,602000000
1350106001,Απολήψεις από το Ευρωπαϊκό Κοινωνικό Ταμείο,ΣΥΓΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΣΚΕΛΟΣ,602000000
1350107,Απολήψεις από το Ευρωπαϊκό Ταμείο Θαλάσσιας Αλιείας (ΕΤΘΑ),ΣΥΓΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΣΚΕΛΟΣ,58000000
1350107001,Απολήψεις από το Ευρωπαϊκό Ταμείο Θαλάσσιας Αλιείας (ΕΤΘΑ),ΣΥΓΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΣΚΕΛΟΣ,58000000
1350108,"Απολήψεις από τα Ταμεία Ασύλου, Μετανάστευσης και Ένταξης και Εσωτερικής Ασφάλειας",ΣΥΓΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΣΚΕΛΟΣ,167000000
1350108001,"Απολήψεις από τα Ταμεία Ασύλου, Μετανάστευσης και Ένταξης και Εσωτερικής Ασφάλειας",ΣΥΓΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΣΚΕΛΟΣ,167000000
1350189,Λοιπές Απολήψεις για τη μελέτη ή εκτέλεση διαφόρων προγραμμάτων,ΣΥΓΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΣΚΕΛΟΣ,220000000
1350189001,Λοιπές Απολήψεις για τη μελέτη ή εκτέλεση διαφόρων προγραμμάτων,ΣΥΓΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΣΚΕΛΟΣ,220000000
