Κωδικός Φορέα,Μείζονα Κατηγορία,Ονομασία,Ποσό
1001,21,Παροχές σε εργαζομένους,3532000
1001,23,Μεταβιβάσεις,203000
1001,24,Αγορές αγαθών και υπηρεσιών,850000
1001,31,Πάγια περιουσιακά στοιχεία,53000
1003,21,Παροχές σε εργαζομένους,127657000
1003,22,Κοινωνικές παροχές,740000
1003,23,Μεταβιβάσεις,6390000
1003,24,Αγορές αγαθών και υπηρεσιών,30521000
1003,26,Τόκοι,1000
1003,29,Πιστώσεις υπό κατανομή,100000
1003,31,Πάγια περιουσιακά στοιχεία,4461000
1003,33,Τιμαλφή,80000
1004,21,Παροχές σε εργαζομένους,20543000
1004,22,Κοινωνικές παροχές,20000
1004,23,Μεταβιβάσεις,8930000
1004,24,Αγορές αγαθών και υπηρεσιών,4091000
1004,25,Επιδοτήσεις,3600000
1004,31,Πάγια περιουσιακά στοιχεία,505000
1007,21,Παροχές σε εργαζομένους,68578000
1007,23,Μεταβιβάσεις,3359467000
1007,24,Αγορές αγαθών και υπηρεσιών,16594000
1007,27,Λοιπές δαπάνες,186000
1007,29,Πιστώσεις υπό κατανομή,3200000
1007,31,Πάγια περιουσιακά στοιχεία,1251000
1009,21,Παροχές σε εργαζομένους,140422000
1009,22,Κοινωνικές παροχές,2250000
1009,23,Μεταβιβάσεις,156829000
1009,24,Αγορές αγαθών και υπηρεσιών,83153000
1009,26,Τόκοι,100000
1009,29,Πιστώσεις υπό κατανομή,4920000
1009,31,Πάγια περιουσιακά στοιχεία,2433000
1009,54,Δάνεια,130000
1011,21,Παροχές σε εργαζομένους,2831342000
1011,22,Κοινωνικές παροχές,77846000
1011,23,Μεταβιβάσεις,51719000
1011,24,Αγορές αγαθών και υπηρεσιών,530721000
1011,27,Λοιπές δαπάνες,1337000
1011,29,Πιστώσεις υπό κατανομή,38092000
1011,31,Πάγια περιουσιακά στοιχεία,2529943000
1015,21,Παροχές σε εργαζομένους,2342138000
1015,23,Μεταβιβάσεις,4158244000
1015,24,Αγορές αγαθών και υπηρεσιών,104679000
1015,29,Πιστώσεις υπό κατανομή,1638000
1015,31,Πάγια περιουσιακά στοιχεία,1725000
1017,21,Παροχές σε εργαζομένους,543684000
1017,23,Μεταβιβάσεις,4435000
1017,24,Αγορές αγαθών και υπηρεσιών,29167000
1017,29,Πιστώσεις υπό κατανομή,70000
1017,31,Πάγια περιουσιακά στοιχεία,447000
1020,21,Παροχές σε εργαζομένους,4935588000
1020,22,Κοινωνικές παροχές,440000
1020,23,Μεταβιβάσεις,530338000
1020,24,Αγορές αγαθών και υπηρεσιών,124934000
1020,25,Επιδοτήσεις,30000
1020,29,Πιστώσεις υπό κατανομή,665000
1020,31,Πάγια περιουσιακά στοιχεία,2000000
1020,33,Τιμαλφή,5000
1022,21,Παροχές σε εργαζομένους,145331000
1022,22,Κοινωνικές παροχές,600000
1022,23,Μεταβιβάσεις,84058000
1022,24,Αγορές αγαθών και υπηρεσιών,24430000
1022,31,Πάγια περιουσιακά στοιχεία,3000000
1024,21,Παροχές σε εργαζομένους,558131000
1024,22,Κοινωνικές παροχές,321116000
1024,23,Μεταβιβάσεις,3343102000
1024,24,Αγορές αγαθών και υπηρεσιών,344743000
1024,26,Τόκοι,7701000000
1024,27,Λοιπές δαπάνες,100010000
1024,29,Πιστώσεις υπό κατανομή,2964455000
1024,31,Πάγια περιουσιακά στοιχεία,12795000
1024,44,Δάνεια,3741000000
1024,45,Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων,1755112000
1024,53,Χρεωστικοί τίτλοι (υποχρεώσεις),19375000000
1024,54,Δάνεια,1203165000000
1029,21,Παροχές σε εργαζομένους,41406000
1029,23,Μεταβιβάσεις,162814000
1029,24,Αγορές αγαθών και υπηρεσιών,12045000
1029,29,Πιστώσεις υπό κατανομή,4468000
1029,31,Πάγια περιουσιακά στοιχεία,1670000
1031,21,Παροχές σε εργαζομένους,99679000
1031,22,Κοινωνικές παροχές,2733000
1031,23,Μεταβιβάσεις,189940000
1031,24,Αγορές αγαθών και υπηρεσιών,19928000
1031,29,Πιστώσεις υπό κατανομή,6680000
1031,31,Πάγια περιουσιακά στοιχεία,267000
1032,21,Παροχές σε εργαζομένους,39452000
1032,23,Μεταβιβάσεις,18052628000
1032,24,Αγορές αγαθών και υπηρεσιών,12306000
1032,29,Πιστώσεις υπό κατανομή,109086000
1032,31,Πάγια περιουσιακά στοιχεία,1612000
1034,21,Παροχές σε εργαζομένους,45269000
1034,22,Κοινωνικές παροχές,290000
1034,23,Μεταβιβάσεις,3736589000
1034,24,Αγορές αγαθών και υπηρεσιών,3655000
1034,31,Πάγια περιουσιακά στοιχεία,750000
1036,21,Παροχές σε εργαζομένους,27920000
1036,23,Μεταβιβάσεις,88096000
1036,24,Αγορές αγαθών και υπηρεσιών,6665000
1036,29,Πιστώσεις υπό κατανομή,177000
1036,31,Πάγια περιουσιακά στοιχεία,187000
1039,21,Παροχές σε εργαζομένους,125154000
1039,22,Κοινωνικές παροχές,491000
1039,23,Μεταβιβάσεις,638422000
1039,24,Αγορές αγαθών και υπηρεσιών,42804000
1039,25,Επιδοτήσεις,62000000
1039,27,Λοιπές δαπάνες,20000
1039,31,Πάγια περιουσιακά στοιχεία,12919000
1041,21,Παροχές σε εργαζομένους,276243000
1041,22,Κοινωνικές παροχές,8120000
1041,23,Μεταβιβάσεις,4545000
1041,24,Αγορές αγαθών και υπηρεσιών,43094000
1041,29,Πιστώσεις υπό κατανομή,4000000
1041,31,Πάγια περιουσιακά στοιχεία,862000
1045,21,Παροχές σε εργαζομένους,14521000
1045,22,Κοινωνικές παροχές,800000
1045,23,Μεταβιβάσεις,12920000
1045,24,Αγορές αγαθών και υπηρεσιών,10502000
1045,31,Πάγια περιουσιακά στοιχεία,550000
1053,21,Παροχές σε εργαζομένους,22683000
1053,23,Μεταβιβάσεις,87089000
1053,24,Αγορές αγαθών και υπηρεσιών,24840000
1053,25,Επιδοτήσεις,15000000
1053,31,Πάγια περιουσιακά στοιχεία,2316000
1055,21,Παροχές σε εργαζομένους,32074000
1055,23,Μεταβιβάσεις,50180000
1055,24,Αγορές αγαθών και υπηρεσιών,18770000
1055,29,Πιστώσεις υπό κατανομή,40500000
1055,31,Πάγια περιουσιακά στοιχεία,347000
1057,21,Παροχές σε εργαζομένους,1880329000
1057,22,Κοινωνικές παροχές,9525000
1057,23,Μεταβιβάσεις,4158000
1057,24,Αγορές αγαθών και υπηρεσιών,296873000
1057,29,Πιστώσεις υπό κατανομή,4500000
1057,31,Πάγια περιουσιακά στοιχεία,22435000
1060,21,Παροχές σε εργαζομένους,501183000
1060,22,Κοινωνικές παροχές,150000
1060,23,Μεταβιβάσεις,10269000
1060,24,Αγορές αγαθών και υπηρεσιών,241718000
1060,29,Πιστώσεις υπό κατανομή,502000
1060,31,Πάγια περιουσιακά στοιχεία,6294000
1901,21,Παροχές σε εργαζομένους,10646000
1901,24,Αγορές αγαθών και υπηρεσιών,2194000
1901,31,Πάγια περιουσιακά στοιχεία,251000
1902,21,Παροχές σε εργαζομένους,8475000
1902,24,Αγορές αγαθών και υπηρεσιών,2104000
1903,21,Παροχές σε εργαζομένους,8354000
1903,24,Αγορές αγαθών και υπηρεσιών,1369000
1903,31,Πάγια περιουσιακά στοιχεία,220000
1904,21,Παροχές σε εργαζομένους,12352000
1904,22,Κοινωνικές παροχές,15000
1904,24,Αγορές αγαθών και υπηρεσιών,2477000
1904,31,Πάγια περιουσιακά στοιχεία,74000
1905,21,Παροχές σε εργαζομένους,5243000
1905,24,Αγορές αγαθών και υπηρεσιών,945000
1906,21,Παροχές σε εργαζομένους,5643000
1906,24,Αγορές αγαθών και υπηρεσιών,792000
1906,31,Πάγια περιουσιακά στοιχεία,62000
1907,21,Παροχές σε εργαζομένους,15627000
1907,24,Αγορές αγαθών και υπηρεσιών,2578000
1907,31,Πάγια περιουσιακά στοιχεία,171000
